Session ID,Event Time,Custom Attribute 1,Custom Attribute 2,Account Number,Final Review Status,Risk Rating,Policy Score,True IP Geo,Agent Type,OS,UA Browser,Browser Language,Browser String,Input IP Score,Input IP Worst Score,True IP Score,True IP Result,True IP Worst Score,True IP Routing Type,Custom Output 18,Reasons
143eddb2-fb2e-4851-8661-a58e03624aec,2018-03-30 21:31:27.281 UTC,false,homeaway_us,02af8213e21a43cb935c6a9289564ea2,,low,-10,US,browser_mobile,iOS,safari 0.0,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1",-14,-79,-33,success,-66,fixed,"{""2859.37""}","{""IP7daysDistanceBelowAverage30Days"",""IPDistance68DistributionAbove1000Miles"",""IPDistance95DistributionAbove1000Miles"",""IPDistance68DistributionAbove200Miles"",""IPDistance95DistributionAbove200Miles"",""Account Number is older 3M"",""Account Number is older 12M"",""MobileDevice"",""NA brand"",""Multiple Browser string Hash per SmartID"",""True IP ISP blacklisted"",""ISP Blacklisted"",""Pattern Account is Old"",""Pattern Input IP Geo US"",""browser language contains en"",""HTTP_OS is Linux"",""UseProxy"",""Browser Language Pattern"",""Use Proxy or ISP Blacklisted"",""InputIPGEO GT 2 in a year"",""DNS IP ISP per account LT 3 times"",""Trust Tag Found Challenge Passed 6 months"",""Account with TimeZone IPGeo GT10 Passed 1 weekOFF"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID Brand Acct Pass Age 1 Day"",""Persona ID Time Zone Acct Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""IF NOT Persona ID Attr5 Acct Age GT Day"",""IF NOT Persona ID Input Region Only Age GT 1 Days"",""IF NOT Persona ID InputRegion System Age 1 Day"",""Input IP Score -20 to -11"",""True IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""True Ip Rejected This Day (Global)"",""Input Ip Rejected This Day (Global)"",""IF NOT Good Persona 3 Month"",""GT 2 IPGEO a year"",""GT 3 IPGEO a year"",""UUID Traveled 200 miles (Input IP/Week)"",""IP in Global Blackist"",""IP in Global Threat List"",""Proxy IP in Global Threat List"",""Identity_Negative_History"",""HiddenProxy"",""ProxyTrueOrganizationMismatch"",""ProxyTrueISPMismatch"",""Multiple TrueIP per Account (2/week) "",""Multiple InputIP per Account (2/week) "",""Multiple ExactID per Account (2/week) "",""Multiple SmartID per Account (2/week) "",""Multiple ScreenRes per Account (2/week) "",""Multiple OS per Account (2/week) "",""DNS Resolver over 1000 miles from True IP"",""Pattern IF Not Good Persona 3 Month"",""IF NOT Persona ID Input IP Passed Before"",""Summary Reasons 4 out of 4"",""Trust Tag Not Found on SmartID"",""IF Login NOT Consistent"",""Trust Tag not Found on Exact ID to Challenge"",""IF NOT input IP already used""}"
a125cb3d-60f2-4713-94ae-23fca13c66f2,2018-03-30 21:23:11.778 UTC,false,homelidays_fr,5b522df55bd340558f110f06b6aa91cc,,medium,-61,,browser_mobile,iOS,safari 0.0,fr-fr,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1",-23,-100,,,,,"{""2409.42""}","{""IP7daysDistanceBelowAverage30Days"",""IPDistance68DistributionAbove1000Miles"",""IPDistance95DistributionAbove1000Miles"",""IPDistance68DistributionAbove200Miles"",""IPDistance95DistributionAbove200Miles"",""Account Number is older 3M"",""Account Number is older 12M"",""MobileDevice"",""Profiling Incomplete"",""French brand"",""Multiple Browser string Hash per SmartID"",""Profiled Domain not recognised"",""Pattern Account is Old"",""Pattern Device New to Account"",""HTTP_OS is Linux"",""UseProxy"",""Use Proxy or ISP Blacklisted"",""InputIPGEO GT 2 in a year"",""Input IP to Account GT 5 Passed 1dayOFF"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before for the Account"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Attr5 Acct Age GT Day"",""GOOD PersonaID 10 CustAttr5 in Acct Age GT Week"",""Persona ID Brand Acct Pass Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""IF NOT Persona ID InputRegion System Age 1 Day"",""IF NOT Persona ID Time Zone Acct Age 1 Day"",""Input IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""New Device to Account in a Hr (Smart ID)"",""Device First Seen (SmartID)"",""New Device (Smart ID)"",""Account Reviewed This Hour (Local)"",""Account Reviewed This Day (Local)"",""Input Ip Rejected This Day (Global)"",""Input Ip Rejected This Week (Local)"",""IF NOT Good Persona 3 Month"",""2 or More Session ID Replays"",""GT 2 IPGEO a year"",""GT 3 IPGEO a year"",""UUID Traveled 200 miles (Input IP/Week)"",""Over 15 Global Events this Hour (Input IP)"",""Proxy IP in Global Threat List"",""Identity_Negative_History"",""AnonymousProxy"",""Multiple InputIP per Account (2/hour) "",""Multiple Browser per Account (2/week) "",""Multiple SmartID per Account (2/hour) "",""Multiple OS per Account (2/week) "",""Pattern IF Not Good Persona 3 Month"",""Summary Reasons 4 out of 4"",""Trust Tag Not Found on SmartID"",""New Device Not Prior Accesses"",""IP Global Blacklist"",""Spoofing and Global Blacklist"",""IF Login NOT Consistent"",""EU brands"",""UUID traveled"",""Trust Tag not Found on Exact ID to Challenge"",""IF NOT input IP already used""}"
a125cb3d-60f2-4713-94ae-23fca13c66f2,2018-03-30 21:21:20.171 UTC,false,homelidays_fr,5b522df55bd340558f110f06b6aa91cc,,medium,-61,,browser_mobile,iOS,safari 0.0,fr-fr,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1",-29,-100,,,,,"{""2465.84""}","{""IP7daysDistanceBelowAverage30Days"",""IPDistance68DistributionAbove1000Miles"",""IPDistance95DistributionAbove1000Miles"",""IPDistance68DistributionAbove200Miles"",""IPDistance95DistributionAbove200Miles"",""Account Number is older 3M"",""Account Number is older 12M"",""MobileDevice"",""Profiling Incomplete"",""French brand"",""Multiple Browser string Hash per SmartID"",""Profiled Domain not recognised"",""Pattern Account is Old"",""Pattern Device New to Account"",""HTTP_OS is Linux"",""UseProxy"",""Use Proxy or ISP Blacklisted"",""InputIPGEO GT 2 in a year"",""Input IP to Account GT 5 Passed 1dayOFF"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before for the Account"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Attr5 Acct Age GT Day"",""GOOD PersonaID 10 CustAttr5 in Acct Age GT Week"",""Persona ID Brand Acct Pass Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""IF NOT Persona ID InputRegion System Age 1 Day"",""IF NOT Persona ID Time Zone Acct Age 1 Day"",""Input IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""New Device to Account in a Hr (Smart ID)"",""Device First Seen (SmartID)"",""New Device (Smart ID)"",""Input Ip Rejected This Day (Global)"",""Input Ip Rejected This Month (Local)"",""IF NOT Good Persona 3 Month"",""GT 2 IPGEO a year"",""GT 3 IPGEO a year"",""UUID Traveled 200 miles (Input IP/Week)"",""Over 15 Global Events this Hour (Input IP)"",""Proxy IP in Global Threat List"",""Identity_Negative_History"",""AnonymousProxy"",""Multiple InputIP per Account (2/week) "",""Multiple Browser per Account (2/week) "",""Multiple SmartID per Account (2/week) "",""Multiple OS per Account (2/week) "",""Pattern IF Not Good Persona 3 Month"",""Summary Reasons 4 out of 4"",""Trust Tag Not Found on SmartID"",""New Device Not Prior Accesses"",""IP Global Blacklist"",""Spoofing and Global Blacklist"",""IF Login NOT Consistent"",""EU brands"",""UUID traveled"",""Trust Tag not Found on Exact ID to Challenge"",""IF NOT input IP already used""}"
f886ff48-8bc2-41ae-a236-6f4134582b40,2018-03-30 20:39:24.515 UTC,false,vrbo,69ae990bc47841f4b8883c061e92a51b,,low,-12,US,browser_mobile,Android,chrome 65.0,"en-CA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","Mozilla/5.0 (Linux; Android 4.4.2; SGH-I257M Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36",-23,-64,-23,success,-64,mobile gateway,"{""1555.74""}","{""IP7daysDistanceBelowAverage30Days"",""IPDistance95DistributionAbove1000Miles"",""IPDistance68DistributionAbove200Miles"",""IPDistance95DistributionAbove200Miles"",""Account Number is older 3M"",""Account Number is older 12M"",""MobileDevice"",""NA brand"",""Multiple Browser string Hash per SmartID"",""Profiled Domain not recognised"",""Pattern Account is Old"",""Pattern Input IP Geo US"",""InputIPGEO GT 2 in a year"",""Account with 3 Consistent Attributes"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputRegion Only Age 7 Days"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Attr5 Acct Age GT Day"",""Persona ID Brand Acct Pass Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""IF NOT Persona ID InputRegion System Age 1 Day"",""IF NOT Persona ID Time Zone Acct Age 1 Day"",""Input IP Score LT -21 "",""True IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""True Ip Rejected This Day (Global)"",""Input Ip Rejected This Day (Global)"",""IF NOT Good Persona 3 Month"",""Smart ID Traveled 200 miles (Input IP/ Week) "",""IF Smart ID Traveled"",""InputIP 3 Accounts in a Day"",""InputIP 10 Accounts in a Week"",""UUID Traveled 200 miles (Input IP/Week)"",""Over 50 Global Events this Hour (True IP)"",""IP in Global Blackist"",""IP in Global Threat List"",""Multiple TrueIP per Account (2/week) "",""Multiple InputIP per Account (2/week) "",""Multiple ExactID per Account (2/week) "",""Multiple SmartID per Account (2/week) "",""Multiple OS per Account (2/week) "",""Pattern IF Not Good Persona 3 Month"",""Trust Tag Not Found on SmartID"",""Trust Tag not Found on Exact ID to Challenge"",""IF NOT input IP already used""}"
ced1a155-cef1-4e33-ba55-f07319a89989,2018-03-30 18:45:09.298 UTC,true,vrbo,a8564b18e2904f71aa2f6f176fb6eda1,,medium,-11,,,,,,,-24,-42,,,,,"{""1487.34""}","{""IP7daysDistanceBelowAverage30Days"",""IPDistance68DistributionAbove1000Miles"",""IPDistance95DistributionAbove1000Miles"",""IPDistance68DistributionAbove200Miles"",""IPDistance95DistributionAbove200Miles"",""Account Number is older 3M"",""Account Number is older 12M"",""Account is a PM"",""Profiling Blocked"",""NA brand"",""Pattern Account is Old"",""Pattern Input IP Geo US"",""InputIPGEO GT 2 in a year"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputRegion Only Same 3MTH"",""Persona ID InputRegion Only Age 7 Days"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before for the Account"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Attr5 Acct Age GT Day"",""Persona ID Brand Acct Pass Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""IF NOT Persona ID InputRegion System Age 1 Day"",""IF NOT Persona ID Time Zone Acct Age 1 Day"",""Input IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""Account Reviewed This Hour (Local)"",""Account Reviewed This Day (Local)"",""Input Ip Rejected This Day (Global)"",""Multi-User Property Owner"",""2 or More Session ID Replays"",""GT 2 IPGEO a year"",""GT 3 IPGEO a year"",""GT 4 IPGEO a year"",""UUID Traveled 200 miles (Input IP/Day)"",""UUID Traveled 200 miles (Input IP/Week)"",""UUID Traveled 500 miles (Input IP/Day)"",""UUID Traveled 1000 miles (Input IP/Day)"",""UUID Traveled 3000 miles (Input IP/Day)"",""3 Persona Variations per Day (Email)"",""Identity_Spoofing"",""Identity_Negative_History"",""Multiple InputIP per Account (2/day) "",""Trust Tag Not Found on SmartID"",""IF Login NOT Consistent"",""NoMobileDevice"",""Trust Tag Not Found on Smart ID:37763249:"",""Risky Unknown Session"",""Trust Tag Not Found on Smart ID:37763127:"",""CustAttr5 not already seen""}"
ced1a155-cef1-4e33-ba55-f07319a89989,2018-03-30 18:44:51.910 UTC,true,vrbo,a8564b18e2904f71aa2f6f176fb6eda1,,medium,-11,,,,,,,-25,-42,,,,,"{""1493.38""}","{""IP7daysDistanceBelowAverage30Days"",""IPDistance68DistributionAbove1000Miles"",""IPDistance95DistributionAbove1000Miles"",""IPDistance68DistributionAbove200Miles"",""IPDistance95DistributionAbove200Miles"",""Account Number is older 3M"",""Account Number is older 12M"",""Account is a PM"",""Profiling Blocked"",""NA brand"",""Pattern Account is Old"",""Pattern Input IP Geo US"",""InputIPGEO GT 2 in a year"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputRegion Only Same 3MTH"",""Persona ID InputRegion Only Age 7 Days"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before for the Account"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Attr5 Acct Age GT Day"",""Persona ID Brand Acct Pass Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""IF NOT Persona ID InputRegion System Age 1 Day"",""IF NOT Persona ID Time Zone Acct Age 1 Day"",""Input IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""Account Reviewed This Hour (Local)"",""Account Reviewed This Day (Local)"",""Input Ip Rejected This Day (Global)"",""Multi-User Property Owner"",""GT 2 IPGEO a year"",""GT 3 IPGEO a year"",""GT 4 IPGEO a year"",""UUID Traveled 200 miles (Input IP/Day)"",""UUID Traveled 200 miles (Input IP/Week)"",""UUID Traveled 500 miles (Input IP/Day)"",""UUID Traveled 1000 miles (Input IP/Day)"",""UUID Traveled 3000 miles (Input IP/Day)"",""3 Persona Variations per Day (Email)"",""Identity_Spoofing"",""Identity_Negative_History"",""Multiple InputIP per Account (2/day) "",""Trust Tag Not Found on SmartID"",""IF Login NOT Consistent"",""NoMobileDevice"",""Trust Tag Not Found on Smart ID:37763249:"",""Risky Unknown Session"",""Trust Tag Not Found on Smart ID:37763127:"",""CustAttr5 not already seen""}"
1b4f476f-3d52-449f-9ebb-4144296d10b1,2018-03-30 18:37:49.963 UTC,false,homeaway_uk,97cc510c24e84072879e20ad9b9f2566,,low,-9,US,browser_mobile,Linux,chrome 59.0,"es,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (Linux; Android 7.0; SM-J710F Build/NRD90M; es-es) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.117 Mobile Safari/537.36 Puffin/7.1.2.18064AP",-48,-100,-48,success,-100,fixed,"{""13216.38""}","{""Account with no SmartID in the last 3 weeks"",""SmartIDToday GT avg4weeks"",""Account Number is older 3M"",""Account Number is older 12M"",""MobileDevice"",""UK brand"",""Time Zone True Geo Mismatch"",""Multiple Browser string Hash per SmartID"",""Profiled Domain not recognised"",""UK ATO peak time"",""Pattern Account is Old"",""Pattern Email Pattern"",""Pattern Input IP Geo US"",""UseProxy"",""Use Proxy or ISP Blacklisted"",""InputIPGEO GT 2 in a year"",""browser language per account LT 3 times"",""DNS IP ISP per account LT 3 times"",""Trust Tag Found Challenge Passed 6 months"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputRegion System Age 1 Day"",""Persona ID InputRegion Only Age 7 Days"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Attr5 Acct Age GT Day"",""Persona ID Brand Acct Pass Age 1 Day"",""Persona ID Time Zone Acct Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""Input IP Score LT -21 "",""True IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""True Ip Rejected This Day (Global)"",""Input Ip Rejected This Day (Global)"",""IF NOT Good Persona 3 Month"",""GT 2 IPGEO a year"",""IP in Global Blackist"",""IP in Global Threat List"",""Proxy IP in Global Threat List"",""VPN_Detection"",""GEO_Spoofing"",""Identity_Negative_History"",""TransparentProxy"",""Multiple TrueIP per Account (2/week) "",""Multiple InputIP per Account (2/week) "",""Pattern IF Not Good Persona 3 Month"",""Summary Reasons 4 out of 4"",""Trust Tag Not Found on SmartID"",""IF Login NOT Consistent"",""EU brands"",""Trust Tag not Found on Exact ID to Challenge"",""IF NOT input IP already used""}"
9361af7a-587b-42a8-bf78-5bf0abf1543d,2018-03-30 18:07:48.329 UTC,false,vrbo,a44f25861b7f4be793bc412362439d08,,trusted,8,US,browser_mobile,Android,chrome 61.0,"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG-SM-G530AZ Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.98 Mobile Safari/537.36",-3,-54,-24,success,-100,mobile gateway,"{""1891.24""}","{""Email with more than 2 devices in a day"",""Device and email with more than 2 times a day"",""IP7daysDistanceBelowAverage30Days"",""IPDistance68DistributionAbove1000Miles"",""IPDistance95DistributionAbove1000Miles"",""IPDistance68DistributionAbove200Miles"",""IPDistance95DistributionAbove200Miles"",""Account Number is older 3M"",""MobileDevice"",""NA brand"",""Multiple Browser string Hash per SmartID"",""Profiled Domain not recognised"",""Pattern Account is Old"",""Pattern Input IP Geo US"",""browser language suspicious for Abritel"",""browser language contains en"",""UseProxy"",""Browser Language Pattern"",""Use Proxy or ISP Blacklisted"",""InputIPGEO GT 2 in a year"",""Trust Tag Found Challenge Passed 6 months"",""Account with 4 Consistent Attributes "",""Account with 3 Consistent Attributes"",""Account with TimeZone IPGeo GT10 Passed 1 weekOFF"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputGeo Consistent 3 Month"",""Persona ID InputRegion System Age 1 Day"",""Persona ID InputRegion Only Age 7 Days"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID InputRegion System Same 1MTH"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before for the Account"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Attr5 Acct Age GT Day"",""Persona ID Brand Acct Pass Age 1 Day"",""Persona ID Time Zone Acct Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""Input IP Score -10 to -1"",""True IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""True Ip Rejected This Day (Global)"",""Input Ip Rejected This Day (Global)"",""IF NOT Good Persona 3 Month"",""UUID Traveled 200 miles (Input IP/Day)"",""UUID Traveled 200 miles (Input IP/Week)"",""UUID Traveled 500 miles (Input IP/Day)"",""Over 50 Global Events this Hour (Input IP)"",""IP in Global Blackist"",""IP in Global Threat List"",""Proxy IP in Global Threat List"",""Identity_Negative_History"",""TransparentProxy"",""Attrb7 seen GT 2 Accounts"",""Account Number with more than 2 devices in a day"",""Multiple TrueIP per Account (2/day) "",""Multiple InputIP per Account (2/day) "",""Multiple ExactID per Account (2/day) "",""Multiple SmartID per Account (2/day) "",""Multiple ScreenRes per Account (2/day) "",""Multiple OS per Account (2/day) "",""Time on Page LT 500ms"",""Pattern IF Not Good Persona 3 Month"",""Summary Reasons 4 out of 4"",""Trust Tag Not Found on SmartID"",""Trust Tag not Found on Exact ID to Challenge"",""IF NOT input IP already used""}"
70beac3e-b29a-403d-8981-b1c1d6f7abc1,2018-03-30 17:57:41.265 UTC,false,homelidays_es,ef12ad539b5e4fa7ab4f3372b41d4d14,,medium,-27,VN,browser_computer,Windows,chrome 64.0,"es-ES,es;q=0.9","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36",-28,-100,0,success,0,fixed,"{""17724""}","{""Account with no SmartID in the last 3 weeks"",""SmartIDToday GT avg4weeks"",""Account Number is older 3M"",""Account Number is older 12M"",""SoE Homelidays"",""SoE brand"",""Time Zone True Geo Mismatch"",""Multiple Browser string Hash per SmartID"",""Profiled Domain not recognised"",""Pattern Account is Old"",""Standard Screen Resolution"",""UseProxy"",""Use Proxy or ISP Blacklisted"",""InputIPGEO GT 2 in a year"",""Account Number and DNS IP LT 2"",""browser language per account LT 3 times"",""DNS IP ISP per account LT 3 times"",""Trust Tag Found Challenge Passed 90 days"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputRegion System Age 1 Day"",""Persona ID InputRegion Only Age 7 Days"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before for the Account"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Attr5 Acct Age GT Day"",""Persona ID Brand Acct Pass Age 1 Day"",""Persona ID Time Zone Acct Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""Input IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""Exact ID Rejected (Global)"",""Input Ip Rejected This Day (Global)"",""IF NOT Good Persona 3 Month"",""GT 2 IPGEO a year"",""GT 3 IPGEO a year"",""ImagesDisabled"",""FlashDisabled"",""Proxy IP in Global Threat List"",""GEO_Spoofing"",""Identity_Negative_History"",""HiddenProxy"",""DeviceProxyGeoMismatch"",""ProxyTrueOrganizationMismatch"",""ProxyTrueISPMismatch"",""DNS Resolver over 1000 miles from True IP"",""LanguageMismatch"",""Pattern IF Not Good Persona 3 Month"",""Summary Reasons 4 out of 4"",""Trust Tag Not Found on SmartID"",""IF Login NOT Consistent"",""NoMobileDevice"",""EU brands"",""Trust Tag not Found on Exact ID to Challenge"",""IF NOT input IP already used""}"
d2325f03-ddde-489c-aef2-893810882164,2018-03-30 17:16:23.166 UTC,true,homeaway_us,8e5a10271d0a47ff857f0c294f30d4ed,,medium,-48,US,browser_mobile,iOS,safari 0.0,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1",-23,-100,-21,success,-45,mobile gateway,"{""12343.65""}","{""Email with more than 2 devices in a day"",""IP7daysDistanceAboveAverage30Days"",""IPDistance95DistributionWithin1000Miles"",""IPDistance99DistributionWithin1000Miles"",""Apple never seen last 90Days"",""Account Number is older 3M"",""Account Number is older 12M"",""Account is a PM"",""MobileDevice"",""NA brand"",""Multiple Browser string Hash per SmartID"",""Pattern Account is Old"",""Pattern Device New to Account"",""Pattern Input IP Geo US"",""browser language contains en"",""UseProxy"",""Browser Language Pattern"",""Use Proxy or ISP Blacklisted"",""InputIPGEO GT 2 in a year"",""browser language per account LT 3 times"",""DNS IP ISP per account LT 3 times"",""Account with TimeZone IPGeo GT10 Passed 1 weekOFF"",""At least 2 IPGEO per Account Passed 1dayOFF"",""At least 2 IPGEO per Account in a day"",""Persona ID InputRegion Only Same 3MTH"",""Persona ID InputRegion Only Age 7 Days"",""Persona ID InputRegion Only Age GT 1 Days"",""Persona ID Input IP Passed Before"",""Persona ID Input IP Passed Before WeekOFF"",""Persona ID Brand Acct Pass Age 1 Day"",""Persona ID Time Zone Acct Age 1 Day"",""NOT Device Consistent with Good Prior Access"",""IF NOT Persona ID Attr5 Acct Age GT Day"",""IF NOT Persona ID InputRegion System Age 1 Day"",""Input IP Score LT -21 "",""True IP Score LT -21 "",""Trust Tag Not Found on Smart ID"",""Trust Tag not Found on Exact ID"",""New Device to Account in a Hr (Smart ID)"",""Email Rejected This Week (Global)"",""True Ip Rejected This Day (Global)"",""Input Ip Rejected This Day (Global)"",""Input Ip Rejected This Month (Local)"",""Multi-User Property Owner"",""UUID Traveled 200 miles (True IP/Day)"",""3 Persona Variations per Day (Email)"",""Over 50 Global Events this Hour (Input IP)"",""IP in Global Blackist"",""IP in Global Threat List"",""Proxy IP in Global Threat List"",""Identity_Spoofing"",""Identity_Negative_History"",""TransparentProxy"",""Attrb7 seen GT 2 Accounts"",""Account Number with more than 2 devices in a day"",""Multiple TrueIP per Account (2/day) "",""Multiple InputIP per Account (2/day) "",""Multiple Browser per Account (2/day) "",""Multiple ExactID per Account (2/day) "",""Multiple SmartID per Account (2/day) "",""Multiple ScreenRes per Account (2/day) "",""Multiple OS per Account (2/day) "",""Summary Reasons 4 out of 4"",""Trust Tag Not Found on SmartID"",""New Device Not Prior Accesses"",""IP Global Blacklist"",""Spoofing and Global Blacklist"",""IF Not IP already used"",""IF ISP and Region not used"",""IF CustAttr3 not used"",""IF CustAttr7 New and multiple accounts"",""IF NOT CustAttr5 and No Consistent"",""IF Login NOT Consistent"",""Trust Tag not Found on Exact ID to Challenge"",""IF NOT input IP already used""}"
